2000 3000
164 1211 4821
164 1426 680
718 1211 919
1426 1883 4436
164 1186 939
717 1211 4767
826 1211 2967
164 1449 2718
164 1323 2383
204 718 2829
491 1323 1728
718 1964 4067
154 491 2550
1231 1323 4167
1422 1883 4171
602 826 3203
1200 1964 3945
1186 1429 296
1282 1964 634
467 1429 3923
491 1876 1094
718 1049 710
1533 1883 4053
717 854 4882
491 1968 1701
704 1876 2075
1866 1883 1894
718 1167 2020
754 1876 436
204 270 493
1330 1533 4109
204 762 2002
8 602 4980
1876 1984 3350
826 1062 4421
1049 1355 1672
1449 1604 4697
1049 1841 4237
270 944 4773
1382 1422 310
599 1533 414
270 1902 4059
132 1323 344
270 1175 1119
1062 1705 1815
531 1211 3078
566 1964 2813
1045 1282 1677
854 1218 1037
845 1866 754
270 713 4639
944 1549 931
1846 1866 2638
491 1051 971
203 599 1054
143 1429 4362
204 1789 2074
164 519 4004
424 1051 4229
424 457 3725
1175 1500 23
164 547 475
1167 1671 2386
491 1407 941
1088 1200 38
602 1072 3114
1186 1392 3770
8 849 2101
1020 1045 4003
323 1062 696
849 1574 1178
1027 1407 2407
867 1984 129
657 1045 4598
1004 1671 822
1062 1504 4973
9 1167 3204
519 937 4235
602 923 2286
412 867 657
854 1418 2565
788 1876 200
1001 1705 1644
603 1392 589
845 1529 4386
203 357 660
527 1407 3543
837 1211 1428
1178 1789 3371
457 555 3225
775 1422 283
1186 1771 2775
531 1510 2165
365 1426 1766
533 566 2623
323 1945 3393
1200 1431 1779
826 1089 3707
423 566 446
788 1530 2348
1282 1928 3648
110 1088 1736
713 1546 3902
1128 1175 1185
499 1984 1023
1001 1913 3662
203 1266 2356
775 891 3892
572 1530 4756
132 664 708
754 856 2558
599 1153 565
811 1153 3504
923 1443 2260
204 1133 783
238 754 2177
143 1386 2088
657 1276 2795
537 849 3127
204 402 1982
1045 1564 1582
762 1068 4381
423 651 2441
660 1431 627
1186 1236 2023
108 412 2326
1323 1556 4675
209 1866 4670
313 1426 1139
784 1705 1946
1808 1964 2313
1453 1705 2116
160 784 2041
84 1431 1334
401 1533 514
1426 1534 2972
91 1089 1744
108 558 3548
424 693 521
602 1791 828
867 1190 4823
811 1229 883
1186 1557 3910
1281 1282 3211
143 1602 2982
784 1762 245
1293 1529 882
1186 1881 821
1392 1521 4578
1533 1587 1775
583 1846 3871
1236 1288 547
1049 1985 3013
238 463 725
424 621 2237
257 1881 656
550 583 4444
1510 1952 2035
1358 1808 2550
629 1913 4772
664 769 2671
1020 1747 4333
908 1281 3620
717 1925 4725
1088 1381 1741
599 1302 3776
829 944 2733
570 1913 2713
357 1614 2325
824 1302 703
269 1808 2278
393 602 4581
1289 1330 3677
448 891 599
291 393 772
12 1382 1250
448 479 3743
1450 1928 3315
307 537 1077
1407 1996 3571
719 1533 4840
357 1438 617
1260 1281 2917
147 824 2488
318 1549 887
17 1211 1898
1148 1504 4289
1193 1218 2622
1024 1449 4588
908 1331 3854
397 1088 3872
504 1881 4548
809 1546 4542
1454 1564 454
809 1333 1693
845 1710 2647
1187 1422 1155
625 944 3040
586 1602 3663
460 1771 3967
1151 1913 3645
313 386 2423
1260 1769 3201
784 1766 3104
550 1307 2439
616 1072 1008
712 1293 1730
826 1086 954
657 1948 4380
849 1096 1479
11 1510 2958
94 257 3322
125 867 1704
465 1964 3719
71 423 3795
867 1864 4559
1508 1574 2045
1418 1812 621
1274 1952 2365
279 762 2133
132 983 4535
932 1812 2662
845 1567 2650
866 1288 3997
424 1129 4072
313 419 1276
1001 1921 782
1581 1710 1971
69 583 4542
600 932 1718
318 828 25
313 1370 2214
940 1841 736
760 1190 2925
962 1454 2484
1388 1808 2428
618 1128 1380
1504 1652 2415
286 1449 1216
1045 1936 516
732 1426 404
829 1703 1663
255 323 663
1266 1751 1586
448 1284 3156
577 1133 1331
13 856 3648
1004 1123 2662
69 1736 4173
1547 1996 1533
531 914 1615
664 941 1181
434 547 2750
1369 1766 1955
629 1033 971
1276 1918 3431
461 1392 4430
1567 1786 1384
809 1353 983
293 1549 167
537 759 843
1429 1677 3248
731 1004 4385
1707 1936 479
461 1755 2246
769 1408 4503
620 1072 702
1283 1846 2737
262 1086 1620
128 318 971
708 1323 2276
1282 1796 1207
1415 1426 3175
372 1602 1645
527 1712 247
326 629 4027
343 1187 3563
291 1280 2852
547 1428 3772
533 1398 3551
826 1391 4113
871 1996 2891
209 794 809
529 547 3143
1043 1086 3008
497 1533 3310
1027 1990 611
548 923 618
651 1720 167
837 1278 2280
1409 1429 1542
625 1718 2790
1718 1824 4316
307 1804 2456
144 1508 1233
318 814 2008
736 1567 2672
257 561 3607
143 1878 4816
482 555 2831
1012 1984 664
828 1216 2516
704 1851 2112
95 461 3451
313 1183 2669
962 1515 2816
269 909 3614
1109 1996 2158
1510 1778 2605
117 1330 1299
653 891 1312
409 1186 2594
1016 1453 89
179 1428 1565
976 1236 1794
143 300 10
1786 1885 1541
255 420 757
736 1496 4195
1072 1836 871
506 1530 4451
61 533 3014
249 1045 2557
808 1547 2845
213 372 3903
307 574 549
1126 1129 905
1842 1925 2595
719 969 1196
529 745 300
925 1812 400
57 618 3431
409 755 4630
136 1945 434
105 1866 1003
1391 1663 4056
1154 1736 3015
11 156 3489
586 1258 1820
368 1450 1642
1258 1292 2419
136 1472 3302
695 828 4795
1149 1216 2077
760 1136 3403
1436 1500 813
499 1245 3874
1008 1836 2390
491 575 4893
255 1899 3106
1324 1504 2961
712 1285 1957
1309 1504 4602
1878 1904 89
1663 1954 507
192 1236 3653
695 1366 1631
547 1132 119
1012 1026 119
484 1426 4952
235 932 2316
991 1921 3263
386 907 1648
307 407 2800
1151 1922 3792
1154 1807 30
1727 1936 3917
965 1245 142
550 1759 4188
1201 1904 55
355 1386 2306
162 1020 1759
1511 1885 3219
962 1222 2415
341 1985 4133
543 837 2370
1529 1970 49
1433 1985 2506
255 1410 4434
531 1279 44
755 943 1529
125 1262 4389
437 1778 4535
577 578 1956
976 1052 3788
576 1302 3090
185 574 3256
295 372 2151
1288 1679 905
65 1438 4607
95 1621 4213
386 778 4869
1607 1948 2448
257 1919 2558
50 1534 1367
316 555 1122
776 1408 4270
776 1273 759
445 1786 1135
879 1398 4054
616 1600 3084
100 574 3058
